"Journal","ISSN","EISSN","Web of Science","IF(2025)","IF(2024)","IF变化","JCR分区(学科)","中科院大类","中科院大类分区","Top期刊","中科院小类分区"
"JOURNAL OF SYSTEMS ARCHITECTURE","1383-7621","1873-6165","SCIE","5.3","4.1","1.2","Q1@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q1@COMPUTER SCIENCE, SOFTWARE ENGINEERING","计算机科学","3 [190/758]","","3 [18/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 3 [36/131]@COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程"
"Seismic Record","N/A","2694-4006","ESCI","5.3","71.5","-66.2","Q1@GEOCHEMISTRY & GEOPHYSICS","","","",""
"IEEE Transactions on Sustainable Computing","2377-3782","2377-3782","SCIE","5.3","3.9","1.4","Q1@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q2@TELECOMMUNICATIONS","计算机科学","3 [246/758]","","3 [27/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 3 [89/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统 | 3 [45/119]@TELECOMMUNICATIONS 电信学"
"CONTROL ENGINEERING PRACTICE","0967-0661","1873-6939","SCIE","5.3","4.6","0.7","Q1@AUTOMATION & CONTROL SYSTEMS | Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","计算机科学","2 [94/758]","","2 [14/83]@AUTOMATION & CONTROL SYSTEMS 自动化与控制系统 | 2 [55/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"International Journal of Disaster Risk Science","2095-0055","2192-6395","SCIE","5.3","4","1.3","Q1@GEOSCIENCES, MULTIDISCIPLINARY | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES | Q1@WATER RESOURCES","地球科学","2 [126/575]","","2 [59/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合 | 2 [28/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学 | 2 [28/124]@WATER RESOURCES 水资源"
"BRAIN TOPOGRAPHY","0896-0267","1573-6792","SCIE","5.3","2.9","2.4","Q1@CLINICAL NEUROLOGY | Q1@NEUROSCIENCES","医学","3 [1912/5603]","","3 [144/309]@NEUROSCIENCES 神经科学 | 4 [121/278]@CLINICAL NEUROLOGY 临床神经病学"
"City and Environment Interactions","2590-2520","2590-2520","ESCI","5.3","3.8","1.5","Q2@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","工程技术","3 [316/1437]","","3 [114/357]@ENVIRONMENTAL SCIENCES 环境科学 | 3 [80/183]@ENVIRONMENTAL STUDIES 环境研究 | 3 [36/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学"
"HEART FAILURE REVIEWS","1382-4147","1573-7322","SCIE","5.3","4.2","1.1","Q1@CARDIAC & CARDIOVASCULAR SYSTEMS","医学","2 [815/5603]","","3 [48/223]@CARDIAC & CARDIOVASCULAR SYSTEMS 心脏和心血管系统"
"IEEE-ACM TRANSACTIONS ON NETWORKING","1063-6692","1558-2566","SCIE","5.3","3.6","1.7","Q1@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q1@COMPUTER SCIENCE, THEORY & METHODS | Q1@ENGINEERING, ELECTRICAL & ELECTRONIC | Q2@TELECOMMUNICATIONS","计算机科学","3 [239/758]","","3 [25/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 3 [42/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法 | 3 [125/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气 | 3 [44/119]@TELECOMMUNICATIONS 电信学"
"VLDB JOURNAL","1066-8888","0949-877X","SCIE","5.3","3.8","1.5","Q1@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE | Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS","计算机科学","2 [145/758]","","2 [11/58]@COMPUTER SCIENCE, HARDWARE & ARCHITECTURE 计算机：硬件 | 3 [57/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统"
"JOURNAL OF PUBLIC POLICY & MARKETING","0743-9156","1547-7207","SSCI","5.3","4.7","0.6","Q2@BUSINESS","管理学","3 [162/1025]","","3 [63/302]@BUSINESS 商业：管理"
"Water Science and Engineering","1674-2370","2405-8106","ESCI","5.3","4.3","1.0","Q1@WATER RESOURCES","环境科学与生态学","3 [175/504]","","3 [35/124]@WATER RESOURCES 水资源"
"Corporate Governance-The International Journal of Business in Society","1472-0701","1758-6054","ESCI","5.3","4.9","0.4","Q2@BUSINESS","管理学","2 [137/1025]","","3 [56/302]@BUSINESS 商业：管理"
"Big Data and Cognitive Computing","N/A","2504-2289","ESCI","5.3","71.5","-66.2","Q2@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE | Q1@COMPUTER SCIENCE, INFORMATION SYSTEMS | Q1@COMPUTER SCIENCE, THEORY & METHODS","计算机科学","3 [165/758]","","2 [25/143]@COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法 | 3 [55/196]@COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能 | 3 [61/249]@COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统"
"INTERMETALLICS","0966-9795","1879-0216","SCIE","5.3","4.8","0.5","Q2@CHEMISTRY, PHYSICAL | Q2@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@METALLURGY & METALLURGICAL ENGINEERING","材料科学","2 [111/495]","","2 [20/104]@CHEMISTRY, PHYSICAL 物理化学 | 2 [14/94]@METALLURGY & METALLURGICAL ENGINEERING 冶金工程 | 3 [110/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"Deep Underground Science and Engineering","2097-0668","2770-1328","ESCI","5.3","5","0.3","Q1@ENGINEERING, GEOLOGICAL","工程技术","4 [1431/1437]","","4 [65/65]@Engineering, Geological 工程：地质"
"Obesity Pillars","N/A","2667-3681","ESCI","5.3","71.5","-66.2","Q1@ENDOCRINOLOGY & METABOLISM | Q1@MEDICINE, GENERAL & INTERNAL","","","",""
"JOURNAL OF FOOD COMPOSITION AND ANALYSIS","0889-1575","1096-0481","SCIE","5.3","4.6","0.7","Q1@CHEMISTRY, APPLIED | Q2@FOOD SCIENCE & TECHNOLOGY","农林科学","2 [90/904]","是","2 [13/74]@CHEMISTRY, APPLIED 应用化学 | 2 [36/173]@FOOD SCIENCE & TECHNOLOGY 食品科技"
"Sustainability Science","1862-4065","1862-4057","SCIE","5.3","5.3","0.0","Q2@ENVIRONMENTAL SCIENCES | Q2@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","环境科学与生态学","2 [52/504]","","2 [51/357]@ENVIRONMENTAL SCIENCES 环境科学 | 3 [20/91]@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术"
"Cleaner Environmental Systems","2666-7894","2666-7894","ESCI","5.3","4.9","0.4","Q2@ENGINEERING, ENVIRONMENTAL | Q2@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES | Q2@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","环境科学与生态学","2 [97/504]","","2 [82/357]@ENVIRONMENTAL SCIENCES 环境科学 | 3 [19/80]@ENGINEERING, ENVIRONMENTAL 工程：环境 | 3 [58/183]@ENVIRONMENTAL STUDIES 环境研究 | 3 [30/91]@GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术"
"BIOGERONTOLOGY","1389-5729","1573-6768","SCIE","5.3","4.1","1.2","Q1@GERIATRICS & GERONTOLOGY","医学","3 [1688/5603]","","4 [40/72]@GERIATRICS & GERONTOLOGY 老年医学"
"Arabian Journal of Chemistry","1878-5352","1878-5379","SCIE","5.3","5.2","0.1","Q2@CHEMISTRY, MULTIDISCIPLINARY","化学","2 [89/490]","","2 [59/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合"
"Frontiers in Cell and Developmental Biology","2296-634X","2296-634X","SCIE","5.3","4.3","1.0","Q2@CELL BIOLOGY | Q1@DEVELOPMENTAL BIOLOGY","生物学","2 [276/1091]","","2 [11/39]@DEVELOPMENTAL BIOLOGY 发育生物学 | 3 [90/203]@CELL BIOLOGY 细胞生物学"
"International Journal of Information and Learning Technology","2056-4880","2056-4880","ESCI","5.3","2.6","2.7","Q2@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","计算机科学","3 [199/758]","","3 [63/172]@COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用"
"Chemical Physics Impact","2667-0224","2667-0224","ESCI","5.3","4.3","1.0","Q2@CHEMISTRY, PHYSICAL","化学","3 [194/490]","","3 [54/104]@CHEMISTRY, PHYSICAL 物理化学"
"Seed Biology","N/A","2834-5495","ESCI","5.3","71.5","-66.2","Q1@PLANT SCIENCES","","","",""
"ChemPhysMater","2097-0323","2772-5715","ESCI","5.3","","","Q2@CHEMISTRY, MULTIDISCIPLINARY | Q2@MATERIALS SCIENCE, MULTIDISCIPLINARY","","","",""
"Frontiers in Chemistry","2296-2646","2296-2646","SCIE","5.3","4.2","1.1","Q2@CHEMISTRY, MULTIDISCIPLINARY","化学","3 [187/490]","","4 [112/230]@CHEMISTRY, MULTIDISCIPLINARY 化学：综合"
"Medicine Advances","2834-4391","2834-4405","ESCI","5.3","","","Q1@MEDICINE, GENERAL & INTERNAL","","","",""
"Cambridge Prisms: Plastics","N/A","2755-094X","ESCI","5.3","71.5","-66.2","Q2@ENVIRONMENTAL SCIENCES | Q1@ENVIRONMENTAL STUDIES","","","",""
"CRIMINOLOGY","0011-1384","1745-9125","SSCI","5.2","5.2","0.0","Q1@CRIMINOLOGY & PENOLOGY","社会学","1 [7/2039]","是","1 [1/111]@CRIMINOLOGY & PENOLOGY 犯罪学与刑罚学"
"STUDIES IN SECOND LANGUAGE ACQUISITION","0272-2631","1470-1545","SSCI","5.2","4.9","0.3","Q1@LINGUISTICS","文学","1 [34/1193]","是","2 [21/294]@LINGUISTICS 语言学"
"Regulation & Governance","1748-5983","1748-5991","SSCI","5.2","3.8","1.4","Q1@LAW | Q1@POLITICAL SCIENCE | Q1@PUBLIC ADMINISTRATION","社会学","1 [100/2039]","是","1 [9/427]@LAW 法学 | 2 [13/91]@PUBLIC ADMINISTRATION 公共管理 | 3 [51/317]@POLITICAL SCIENCE 政治学"
"BMC NURSING","1472-6955","1472-6955","SCIE, SSCI","5.2","3.9","1.3","Q1@NURSING","医学","2 [665/5603]","","1 [6/191]@NURSING 护理"
"Heritage Science","2050-7445","2050-7445","SCIE, AHCI","5.2","3.9","1.3","Q1@CHEMISTRY, ANALYTICAL | N/A@HUMANITIES, MULTIDISCIPLINARY | Q2@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@SPECTROSCOPY","社会学","2 [273/2039]","","1 [7/406]@HUMANITIES, MULTIDISCIPLINARY 人文科学 | 1 [5/43]@SPECTROSCOPY 光谱学 | 2 [15/106]@CHEMISTRY, ANALYTICAL 分析化学 | 2 [102/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合"
"BREAST","0960-9776","1532-3080","SCIE","5.2","7.9","-2.7","Q1@OBSTETRICS & GYNECOLOGY | Q1@ONCOLOGY","医学","2 [569/5603]","","2 [12/135]@OBSTETRICS & GYNECOLOGY 妇产科学 | 2 [54/318]@ONCOLOGY 肿瘤学"
"Child Development Perspectives","1750-8592","1750-8606","SSCI","5.2","5.3","-0.1","Q1@PSYCHOLOGY, DEVELOPMENTAL","心理学","1 [14/657]","是","1 [1/91]@PSYCHOLOGY, DEVELOPMENTAL 心理学：发育"
"Journal of University Teaching and Learning Practice","1449-9789","1449-9789","ESCI","5.2","4.4","0.8","Q1@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [301/840]","","4 [283/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"International Journal of Nursing Studies Advances","2666-142X","2666-142X","ESCI","5.2","2.7","2.5","Q1@NURSING","医学","3 [2131/5603]","","3 [50/191]@NURSING 护理"
"NEW TECHNOLOGY WORK AND EMPLOYMENT","0268-1072","1468-005X","SSCI","5.2","7.3","-2.1","Q1@INDUSTRIAL RELATIONS & LABOR | Q1@MANAGEMENT","管理学","2 [121/1025]","","1 [2/24]@ERGONOMICS 人体工程学 | 3 [80/404]@MANAGEMENT 管理学"
"Global Environmental Politics","1526-3800","1536-0091","SSCI","5.2","4","1.2","Q1@ENVIRONMENTAL STUDIES | Q1@INTERNATIONAL RELATIONS | Q1@POLITICAL SCIENCE","社会学","2 [231/2039]","","3 [49/183]@ENVIRONMENTAL STUDIES 环境研究 | 3 [40/165]@INTERNATIONAL RELATIONS 国际关系学 | 3 [86/317]@POLITICAL SCIENCE 政治学"
"Eye and Vision","N/A","2326-0254","SCIE","5.2","71.5","-66.3","Q1@OPHTHALMOLOGY","医学","2 [519/5603]","","1 [8/95]@OPHTHALMOLOGY 眼科学"
"PSYCHOLOGICAL MEDICINE","0033-2917","1469-8978","SCIE, SSCI","5.2","5.5","-0.3","Q1@PSYCHIATRY | Q1@PSYCHOLOGY | Q1@PSYCHOLOGY, CLINICAL","医学","2 [406/5603]","是","1 [9/92]@PSYCHOLOGY 心理学 | 1 [10/179]@PSYCHOLOGY, CLINICAL 心理学：临床 | 2 [20/277]@PSYCHIATRY 精神病学"
"Annual Review of Linguistics","2333-9691","2333-9691","AHCI, SSCI","5.2","4.3","0.9","N/A@LANGUAGE & LINGUISTICS | Q1@LINGUISTICS","文学","1 [5/1193]","是","1 [2/391]@LANGUAGE & LINGUISTICS 语言与语言学 | 1 [3/294]@LINGUISTICS 语言学"
"JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY","1537-4416","1537-4424","SSCI","5.2","4.4","0.8","Q1@PSYCHOLOGY, CLINICAL | Q1@PSYCHOLOGY, DEVELOPMENTAL","心理学","1 [50/657]","是","1 [12/179]@PSYCHOLOGY, CLINICAL 心理学：临床 | 2 [13/91]@PSYCHOLOGY, DEVELOPMENTAL 心理学：发育"
"TechTrends","8756-3894","1559-7075","ESCI","5.2","3.8","1.4","Q1@EDUCATION & EDUCATIONAL RESEARCH","教育学","4 [323/840]","","4 [305/754]@EDUCATION & EDUCATIONAL RESEARCH 教育学和教育研究"
"INTERNATIONAL DENTAL JOURNAL","0020-6539","1875-595X","SCIE","5.2","3.7","1.5","Q1@DENTISTRY, ORAL SURGERY & MEDICINE","医学","2 [863/5603]","","2 [22/157]@DENTISTRY, ORAL SURGERY & MEDICINE 牙科与口腔外科"
"Global Finance Journal","1044-0283","1873-5665","SSCI","5.2","5.5","-0.3","Q1@BUSINESS, FINANCE","经济学","2 [120/765]","","3 [47/231]@BUSINESS, FINANCE 商业：财政与金融"
"Public Management Review","1471-9037","1471-9045","SSCI","5.2","4.9","0.3","Q1@MANAGEMENT | Q1@PUBLIC ADMINISTRATION","管理学","2 [80/1025]","","2 [47/404]@MANAGEMENT 管理学 | 2 [6/91]@PUBLIC ADMINISTRATION 公共管理"
"SOCIO-ECONOMIC PLANNING SCIENCES","0038-0121","1873-6041","SSCI, SCIE","5.2","5.4","-0.2","Q1@ECONOMICS | Q1@MANAGEMENT | Q1@OPERATIONS RESEARCH & MANAGEMENT SCIENCE","经济学","1 [41/765]","是","2 [43/599]@ECONOMICS 经济学 | 2 [12/106]@OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学 | 3 [67/404]@MANAGEMENT 管理学"
"TOXICOLOGY","0300-483X","1879-3185","SCIE","5.2","4.6","0.6","Q1@PHARMACOLOGY & PHARMACY | Q1@TOXICOLOGY","医学","3 [1148/5603]","","2 [65/350]@PHARMACOLOGY & PHARMACY 药学 | 2 [14/106]@TOXICOLOGY 毒理学"
"Journal of Commodity Markets","2405-8513","2405-8505","SSCI","5.2","4.5","0.7","Q1@BUSINESS, FINANCE | Q1@ECONOMICS","经济学","3 [203/765]","","3 [189/599]@ECONOMICS 经济学 | 4 [82/231]@BUSINESS, FINANCE 商业：财政与金融"
"Journal of Tourism and Services","1804-5650","1804-5650","ESCI","5.2","5.1","0.1","Q1@HOSPITALITY, LEISURE, SPORT & TOURISM","管理学","3 [230/1025]","","4 [43/139]@HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游"
"International Journal for Equity in Health","N/A","1475-9276","SSCI","5.2","71.5","-66.3","Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","2 [486/5603]","是","1 [26/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","1538-7933","1538-7836","SCIE","5.2","5","0.2","Q1@HEMATOLOGY | Q1@PERIPHERAL VASCULAR DISEASE","医学","1 [285/5603]","是","2 [11/96]@HEMATOLOGY 血液学 | 2 [8/96]@PERIPHERAL VASCULAR DISEASE 外周血管病"
"GEOCHIMICA ET COSMOCHIMICA ACTA","0016-7037","1872-9533","SCIE","5.2","5","0.2","Q1@GEOCHEMISTRY & GEOPHYSICS","地球科学","1 [36/575]","是","1 [7/99]@GEOCHEMISTRY & GEOPHYSICS 地球化学与地球物理"
"IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS","0093-9994","1939-9367","SCIE","5.2","4.5","0.7","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC | Q1@ENGINEERING, MULTIDISCIPLINARY","工程技术","2 [191/1437]","","2 [69/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气 | 2 [24/179]@ENGINEERING, MULTIDISCIPLINARY 工程：综合"
"IEEE-ACM Transactions on Audio Speech and Language Processing","2329-9290","N/A","SCIE","5.2","5.1","0.1","Q1@ACOUSTICS | Q1@ENGINEERING, ELECTRICAL & ELECTRONIC","计算机科学","2 [76/758]","","1 [3/40]@ACOUSTICS 声学 | 2 [42/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"mSystems","N/A","2379-5077","SCIE","5.2","71.5","-66.3","Q2@MICROBIOLOGY","生物学","2 [162/1091]","","2 [36/159]@MICROBIOLOGY 微生物学"
"Plant Methods","N/A","1746-4811","SCIE","5.2","71.5","-66.3","Q1@BIOCHEMICAL RESEARCH METHODS | Q1@PLANT SCIENCES","生物学","2 [204/1091]","","2 [9/85]@BIOCHEMICAL RESEARCH METHODS 生化研究方法 | 2 [47/265]@PLANT SCIENCES 植物科学"
"European Stroke Journal","2396-9873","2396-9881","SCIE","5.2","4.5","0.7","Q1@CLINICAL NEUROLOGY | Q1@PERIPHERAL VASCULAR DISEASE","医学","3 [1329/5603]","","3 [86/278]@CLINICAL NEUROLOGY 临床神经病学 | 3 [25/96]@PERIPHERAL VASCULAR DISEASE 外周血管病"
"Asia Pacific Journal of Tourism Research","1094-1665","1741-6507","SSCI","5.2","3.3","1.9","Q1@HOSPITALITY, LEISURE, SPORT & TOURISM","管理学","3 [221/1025]","","4 [41/139]@HOSPITALITY, LEISURE, SPORT & TOURISM 酒店、休闲、体育与旅游"
"JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY","1773-2247","2588-8943","SCIE","5.2","4.9","0.3","Q1@PHARMACOLOGY & PHARMACY","医学","3 [1862/5603]","","3 [113/350]@PHARMACOLOGY & PHARMACY 药学"
"TOXICOLOGICAL SCIENCES","1096-6080","1096-0929","SCIE","5.2","4.1","1.1","Q1@TOXICOLOGY","医学","3 [1518/5603]","","2 [21/106]@TOXICOLOGY 毒理学"
"Interdisciplinary Sciences-Computational Life Sciences","1913-2751","1867-1462","SCIE","5.2","3.9","1.3","Q1@MATHEMATICAL & COMPUTATIONAL BIOLOGY","生物学","2 [285/1091]","","2 [17/66]@MATHEMATICAL & COMPUTATIONAL BIOLOGY 数学与计算生物学"
"JOURNAL OF LIGHTWAVE TECHNOLOGY","0733-8724","1558-2213","SCIE","5.2","4.8","0.4","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC | Q1@OPTICS | Q2@TELECOMMUNICATIONS","工程技术","2 [118/1437]","是","2 [48/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气 | 2 [16/119]@OPTICS 光学 | 2 [18/119]@TELECOMMUNICATIONS 电信学"
"THROMBOSIS AND HAEMOSTASIS","0340-6245","2567-689X","SCIE","5.2","4.3","0.9","Q1@HEMATOLOGY | Q1@PERIPHERAL VASCULAR DISEASE","医学","2 [454/5603]","是","2 [15/96]@HEMATOLOGY 血液学 | 2 [11/96]@PERIPHERAL VASCULAR DISEASE 外周血管病"
"CHEMICO-BIOLOGICAL INTERACTIONS","0009-2797","1872-7786","SCIE","5.2","5.4","-0.2","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@PHARMACOLOGY & PHARMACY | Q1@TOXICOLOGY","医学","2 [986/5603]","","1 [10/106]@TOXICOLOGY 毒理学 | 2 [73/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 2 [52/350]@PHARMACOLOGY & PHARMACY 药学"
"MICROCHEMICAL JOURNAL","0026-265X","1095-9149","SCIE","5.2","5.1","0.1","Q1@CHEMISTRY, ANALYTICAL","化学","2 [81/490]","","2 [19/106]@CHEMISTRY, ANALYTICAL 分析化学"
"CONSERVATION BIOLOGY","0888-8892","1523-1739","SCIE","5.2","5.5","-0.3","Q1@BIODIVERSITY CONSERVATION | Q1@ECOLOGY | Q2@ENVIRONMENTAL SCIENCES","环境科学与生态学","1 [36/504]","是","2 [7/75]@BIODIVERSITY CONSERVATION 生物多样性保护 | 2 [23/196]@ECOLOGY 生态学 | 2 [41/357]@ENVIRONMENTAL SCIENCES 环境科学"
"Antimicrobial Resistance and Infection Control","2047-2994","2047-2994","SCIE","5.2","4.4","0.8","Q1@INFECTIOUS DISEASES | Q2@MICROBIOLOGY | Q1@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","医学","2 [566/5603]","","2 [15/134]@INFECTIOUS DISEASES 传染病学 | 2 [24/159]@MICROBIOLOGY 微生物学 | 2 [33/404]@PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH 公共卫生、环境卫生与职业卫生"
"JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING","1090-0241","1943-5606","SCIE","5.2","4.4","0.8","Q1@ENGINEERING, GEOLOGICAL | Q1@GEOSCIENCES, MULTIDISCIPLINARY","工程技术","2 [220/1437]","","2 [51/258]@GEOSCIENCES, MULTIDISCIPLINARY 地球科学：综合 | 3 [17/65]@ENGINEERING, GEOLOGICAL 工程：地质"
"OPTICS AND LASER TECHNOLOGY","0030-3992","1879-2545","SCIE","5.2","5","0.2","Q1@OPTICS | Q1@PHYSICS, APPLIED","物理与天体物理","2 [58/406]","是","2 [19/119]@OPTICS 光学 | 2 [35/178]@PHYSICS, APPLIED 物理：应用"
"APPLIED CLAY SCIENCE","0169-1317","1872-9053","SCIE","5.2","5.8","-0.6","Q2@CHEMISTRY, PHYSICAL | Q2@MATERIALS SCIENCE, MULTIDISCIPLINARY | Q1@MINERALOGY","地球科学","2 [77/575]","","2 [94/436]@MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合 | 2 [5/30]@MINERALOGY 矿物学"
"Business Process Management Journal","1463-7154","1758-4116","SSCI","5.2","5.8","-0.6","Q2@BUSINESS | Q1@MANAGEMENT","管理学","3 [287/1025]","","4 [109/302]@BUSINESS 商业：管理 | 4 [151/404]@MANAGEMENT 管理学"
"Crop Design","N/A","2772-8994","ESCI","5.2","71.5","-66.3","Q1@AGRONOMY","","","",""
"Journal of Integrative Medicine-JIM","2095-4964","2095-4964","SCIE","5.2","4","1.2","Q1@INTEGRATIVE & COMPLEMENTARY MEDICINE","医学","2 [946/5603]","","2 [6/43]@INTEGRATIVE & COMPLEMENTARY MEDICINE 全科医学与补充医学"
"Annals of Clinical Microbiology and Antimicrobials","N/A","1476-0711","SCIE","5.2","71.5","-66.3","Q2@MICROBIOLOGY","医学","2 [1033/5603]","","3 [47/159]@MICROBIOLOGY 微生物学"
"Social Responsibility Journal","1747-1117","1758-857X","ESCI","5.2","4.1","1.1","Q1@MANAGEMENT","管理学","4 [487/1025]","","4 [228/404]@MANAGEMENT 管理学"
"Remote Sensing in Ecology and Conservation","N/A","2056-3485","SCIE","5.2","71.5","-66.3","Q1@ECOLOGY | Q2@REMOTE SENSING","环境科学与生态学","2 [72/504]","","2 [37/196]@ECOLOGY 生态学 | 3 [15/61]@REMOTE SENSING 遥感"
"Best Practice & Research Clinical Gastroenterology","1521-6918","1532-1916","SCIE","5.2","4","1.2","Q1@GASTROENTEROLOGY & HEPATOLOGY","医学","2 [808/5603]","","3 [29/143]@GASTROENTEROLOGY & HEPATOLOGY 胃肠肝病学"
"Frontiers in Digital Health","N/A","2673-253X","ESCI","5.2","71.5","-66.3","Q1@HEALTH CARE SCIENCES & SERVICES | Q2@MEDICAL INFORMATICS","医学","3 [1551/5603]","","3 [55/173]@HEALTH CARE SCIENCES & SERVICES 卫生保健与服务 | 4 [20/44]@MEDICAL INFORMATICS 医学：信息"
"JOURNAL OF NUTRITIONAL BIOCHEMISTRY","0955-2863","1873-4847","SCIE","5.2","4.9","0.3","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@NUTRITION & DIETETICS","医学","2 [757/5603]","","2 [59/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 2 [20/113]@NUTRITION & DIETETICS 营养学"
"MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","0035-8711","1365-2966","SCIE","5.2","4.8","0.4","Q1@ASTRONOMY & ASTROPHYSICS","物理与天体物理","2 [87/406]","","2 [23/84]@ASTRONOMY & ASTROPHYSICS 天文与天体物理"
"IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES","0018-9480","1557-9670","SCIE","5.2","4.5","0.7","Q1@ENGINEERING, ELECTRICAL & ELECTRONIC | Q2@TELECOMMUNICATIONS","工程技术","1 [74/1437]","是","2 [36/352]@ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气"
"CLIMATIC CHANGE","0165-0009","1573-1480","SCIE","5.2","4.8","0.4","Q2@ENVIRONMENTAL SCIENCES | Q1@METEOROLOGY & ATMOSPHERIC SCIENCES","环境科学与生态学","2 [69/504]","","2 [64/357]@ENVIRONMENTAL SCIENCES 环境科学 | 2 [21/109]@METEOROLOGY & ATMOSPHERIC SCIENCES 气象与大气科学"
"Journal of the International AIDS Society","N/A","1758-2652","SCIE","5.2","71.5","-66.3","Q2@IMMUNOLOGY | Q1@INFECTIOUS DISEASES","医学","2 [396/5603]","是","1 [7/134]@INFECTIOUS DISEASES 传染病学 | 2 [24/179]@IMMUNOLOGY 免疫学"
"Frontiers in Aging Neuroscience","1663-4365","1663-4365","SCIE","5.2","4.5","0.7","Q1@GERIATRICS & GERONTOLOGY | Q1@NEUROSCIENCES","医学","3 [1281/5603]","","3 [26/72]@GERIATRICS & GERONTOLOGY 老年医学 | 3 [105/309]@NEUROSCIENCES 神经科学"
"BIOFACTORS","0951-6433","1872-8081","SCIE","5.2","5","0.2","Q1@BIOCHEMISTRY & MOLECULAR BIOLOGY | Q1@ENDOCRINOLOGY & METABOLISM","生物学","3 [333/1091]","","3 [128/310]@BIOCHEMISTRY & MOLECULAR BIOLOGY 生化与分子生物学 | 4 [96/184]@ENDOCRINOLOGY & METABOLISM 内分泌学与代谢"
